Characteristic,Total ,"Under $5,000","$5,000 to  $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999","$55,000 to $59,999","$60,000 to $64,999","$65,000 to $69,999","$70,000 to $74,999","$75,000 to $79,999","$80,000 to $84,999","$85,000 to $89,999","$90,000 to $94,999","$95,000 to $99,999","$100,000 to $104,999","$105,000 to $109,999","$110,000 to $114,999","$115,000 to $119,999","$120,000 to $124,999","$125,000 to $129,999","$130,000 to $134,999","$135,000 to $139,999","$140,000 to $144,999","$145,000 to $149,999","$150,000 to $154,999","$155,000 to $159,999","$160,000 to $164,999","$165,000 to $169,999","$170,000 to $174,999","$175,000 to $179,999","$180,000 to $184,999","$185,000 to $189,999","$190,000 to $194,999","$195,000 to $199,999","$200,000 and over",Median income,,Mean income,,Gini ratio,,Income per household member,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Value
(Dol.)","Standard
error (Dol.)","Value
(Dol.)","Standard
error (Dol.)",Ratio,"Standard
error","Value
(Dol.)","Standard
error (Dol.)"
...27 to 49 weeks,"5,884",24,107,155,288,338,320,340,234,231,282,285,216,264,187,206,184,160,160,166,113,145,130,105,106,119,89,53,52,74,66,53,43,43,51,30,28,33,39,29,25,313,"61,879",977,"82,483","1,668",0.433,0.0085,"30,419",638
...26 weeks or less,"3,287",148,195,261,237,205,184,140,170,129,106,139,130,108,91,104,91,43,89,40,50,47,43,40,33,38,35,27,22,12,31,20,25,13,30,10,9,13,4,23,11,141,"43,786","2,137","65,170","2,229",0.509,0.0120,"24,540",896
.Worked at part time jobs,"13,988",443,669,878,874,984,776,707,671,623,590,578,437,365,380,363,415,336,239,285,265,268,195,183,156,194,133,170,126,98,110,88,92,84,64,87,58,57,61,59,38,787,"48,145",731,"71,868","1,021",0.498,0.0049,"27,730",403
...50 weeks or more ,"7,852",83,255,434,464,568,467,389,397,356,341,323,260,226,231,207,264,219,117,159,164,161,109,104,94,124,72,117,71,70,67,53,54,61,36,49,32,31,43,37,23,520,"52,214",978,"78,093","1,412",0.483,0.0062,"29,642",528
...27 to 49 weeks ,"2,887",64,158,195,180,202,137,170,141,139,138,117,86,74,73,66,91,63,56,58,63,65,38,47,27,33,32,30,31,18,29,20,20,11,13,17,14,10,9,8,10,133,"47,344","1,689","67,814","2,086",0.476,0.0099,"26,898",836
...26 weeks or less ,"3,249",295,256,249,230,215,172,148,133,128,111,138,91,65,75,91,61,55,67,68,38,42,47,31,35,37,29,23,24,9,14,14,18,12,14,21,12,16,10,15,4,134,"37,592","1,900","60,428","2,444",0.548,0.0123,"23,690",917
Did not work,"42,957","3,550","2,946","4,568","4,005","3,493","2,960","2,575","2,247","1,766","1,628","1,443","1,087","1,159",916,815,811,726,583,606,420,474,355,338,271,284,244,253,208,164,132,188,154,128,88,97,93,72,49,65,39,954,"29,915",311,"47,426",484,0.525,0.0041,"21,819",224
EDUCATIONAL ATTAINMENT OF HOUSEHOLDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"....Total, 25 years and over","119,457","3,700","3,706","5,928","6,064","6,266","5,749","5,940","5,408","4,870","4,711","4,815","3,871","4,137","3,556","3,508","3,489","3,254","2,763","2,745","2,381","2,714","2,173","2,128","1,721","1,949","1,646","1,436","1,367","1,197","1,085","1,291",996,972,735,803,686,667,527,556,420,"7,531","58,044",443,"80,837",418,0.476,0.0020,"31,903",175
Less than 9th grade,"4,671",260,384,656,499,429,338,277,243,228,178,147,131,121,119,75,105,57,37,54,30,44,33,15,20,28,20,10,19,4,5,5,11,5,5,11,2,1,0,5,4,55,"26,252",640,"39,853","1,149",0.492,0.0108,"13,691",390
